nu_ano_avaliacao,co_uf,co_municipio,tp_dependencia,id_aluno,id_escola,sg_uf,no_municipio,vl_proficiencia_lp,in_alfabetizado,in_presenca_lp,status_alfabetizacao,status_presenca_lp,tp_dependencia_desc,total_alunos,alunos_com_classificacao,media_proficiencia_lp,percentual_alfabetizados,percentual_nao_alfabetizados,total_alunos_ano_anterior,media_proficiencia_ano_anterior,percentual_alfabetizados_ano_anterior,percentual_nao_alfabetizados_ano_anterior,variacao_media_proficiencia,variacao_pontos_percentuais_alfabetizados,variacao_pontos_percentuais_nao_alfabetizados,variacao_total_alunos_percentual,tx_alfabetizacao_escola,vol_alunos_escola,in_alfabetizado_real,in_alfabetizado_pred,score_prob,cluster_risco
2025,31,3145208,3,31048715,60019456.0,MG,Nova Serrana,750.3171069,1,1,Alfabetizado,Presente,Municipal,1526,1526,761.58,75.16,24.84,1397.0,758.72,72.66,27.34,2.86,2.5,-2.5,9.23,0.6304347826086957,36,1,1,56.59,Medio
2025,23,2314003,3,23206672,60009197.0,CE,Várzea Alegre,779.4173255,1,1,Alfabetizado,Presente,Municipal,353,353,808.88,93.2,6.8,420.0,808.04,90.95,9.05,0.84,2.25,-2.25,-15.95,0.8333333333333334,80,1,1,90.88,Baixo
2024,31,3151800,3,31011547,60020959.0,MG,Poços de Caldas,755.43,1,1,Alfabetizado,Presente,Municipal,997,997,765.03,79.64,20.36,,,,,,,,,0.7006369426751592,147,1,1,57.91,Medio
2024,52,5208004,3,52026055,60041860.0,GO,Formosa,790.14,1,1,Alfabetizado,Presente,Municipal,1171,1171,749.8,64.3,35.7,,,,,,,,,0.7049180327868853,51,1,1,60.77,Medio
2025,35,3552502,3,35337353,60029543.0,SP,Suzano,750.47903,1,1,Alfabetizado,Presente,Municipal,2238,2238,731.8,49.96,50.04,2298.0,735.86,47.08,52.92,-4.06,2.88,-2.88,-2.61,0.5929824561403508,275,1,0,41.09,Alto
2024,29,2910206,3,29064634,60015772.0,BA,Dom Macedo Costa,815.88,1,1,Alfabetizado,Presente,Municipal,42,42,741.14,52.38,47.62,,,,,,,,,0.7833333333333333,50,1,1,64.34,Medio
2024,33,3303906,3,33068394,60023849.0,RJ,Petrópolis,757.63,1,1,Alfabetizado,Presente,Municipal,2256,2256,746.39,65.34,34.66,,,,,,,,,0.7368421052631579,104,1,1,59.2,Medio
2024,33,3301702,3,33029588,60024025.0,RJ,Duque de Caxias,728.18,0,1,Não Alfabetizado,Presente,Municipal,6581,6581,730.07,45.66,54.34,,,,,,,,,0.5365853658536586,113,0,0,38.6,Alto
2025,35,3535408,3,35001777,60030479.0,SP,Panorama,782.10995,1,1,Alfabetizado,Presente,Municipal,159,159,765.57,83.65,16.35,171.0,790.63,92.4,7.6,-25.06,-8.75,8.75,-7.02,0.646551724137931,106,1,1,65.45,Medio
2025,13,1302603,3,13027815,60001304.0,AM,Manaus,669.9004428,0,1,Não Alfabetizado,Presente,Municipal,19893,19893,742.04,57.79,42.21,18666.0,735.04,50.78,49.22,7.0,7.01,-7.01,6.57,0.49504950495049505,192,0,0,40.5,Alto
